date_observation,code_municipalite,nom,coordonnee_x,coordonnee_y,urgence,certitude,type,severite,etat,imprecision
2012/12/15 09:30:00,26030,Sainte-Marie,-71.045168225909,46.453796319746,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/19 22:59:00,27043,Saint-Joseph-de-Beauce,-70.884750669153,46.308255559773,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 12:00:00,27050,Saint-Joseph-des-Érables,-70.909040753991,46.325743306931,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 12:30:00,27050,Saint-Joseph-des-Érables,-70.923116986901,46.335877713522,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 11:45:00,27050,Saint-Joseph-des-Érables,-70.923889463097,46.342632941352,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 11:30:00,26015,Vallée-Jonction,-70.928695981652,46.374916138976,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 11:30:00,26015,Vallée-Jonction,-70.939682309776,46.383561242618,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 11:15:00,26015,Vallée-Jonction,-70.946977918296,46.386403169494,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 11:00:00,26030,Sainte-Marie,-70.970323865561,46.405937411833,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 10:00:00,26030,Sainte-Marie,-71.029804532673,46.442974064073,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 10:15:00,26030,Sainte-Marie,-71.022165601399,46.437532555017,Inconnue,Inconnue,Autre,Inconnue,Actuel,aucune
2012/12/15 10:30:00,26030,Sainte-Marie,-71.017444913533,46.431794723216,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2012/12/15 09:45:00,26030,Sainte-Marie,-71.0424064096291,46.4503412804464,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2012/12/15 09:45:00,26030,Sainte-Marie,-71.0404429213168,46.4477661278901,Prévue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/22 14:30:00,45043,Hatley,-72.0301055055096,45.1751714500113,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 14:15:00,45043,Hatley,-72.0021944623943,45.1899026807574,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 01:30:00,44080,Waterville,-71.8879538399411,45.3188419182546,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 13:45:00,45055,Hatley,-71.8943911415762,45.3191436813788,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/14 14:30:00,44080,Waterville,-71.8370991868893,45.339026349607,Immédiate,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 15:00:00,43027,Sherbrooke,-71.8380004091181,45.3410474114974,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 13:30:00,43027,Sherbrooke,-71.8470126672397,45.3678423087567,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 11:15:00,41038,Cookshire-Eaton,-71.6015691522883,45.4067002556732,Prévue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/14 12:15:00,41038,Cookshire-Eaton,-71.6229839150312,45.4142924003297,Passée,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 11:30:00,41038,Cookshire-Eaton,-71.6225547615886,45.4140513956824,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/14 12:00:00,41038,Cookshire-Eaton,-71.6451711479983,45.43308759401,Passée,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 10:30:00,41070,Bury,-71.5902610505109,45.5292997794101,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 10:45:00,41070,Bury,-71.5575810397691,45.4901577528258,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 10:15:00,41117,Dudswell,-71.5464016661074,45.5921888236905,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/21 09:15:00,41098,Weedon,-71.4038798318038,45.6816682685079,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/01/23 14:30:00,46078,Bromont,-72.7272428150264,45.2834043696924,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/03/12 15:37:00,49085,Sainte-Brigitte-des-Saults,-72.4632333781769,46.0326502687839,Inconnue,Observé,Autre,Mineure,Actuel,aucune
2013/03/14 01:45:00,14065,Rivière-Ouelle,-70.0067589019424,47.4260682803554,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
2013/03/14 01:45:00,14065,Rivière-Ouelle,-69.9722549651814,47.4343132875641,Inconnue,Observé,Autre,Inconnue,Actuel,aucune
